Date,Open,High,Low,Close,Volume,Adj Close
2015-09-03,2.13,2.20,2.06,2.20,117700,2.20
2015-09-02,2.19,2.20,2.07,2.07,57200,2.07
2015-09-01,2.18,2.18,2.11,2.18,16700,2.18
2015-08-31,2.13,2.20,2.11,2.18,8400,2.18
2015-08-28,2.10,2.20,2.10,2.15,7700,2.15
2015-08-27,2.08,2.16,2.05,2.12,32500,2.12
2015-08-26,2.16,2.25,2.11,2.16,60700,2.16
2015-08-25,2.21,2.24,2.12,2.17,36500,2.17
2015-08-24,2.28,2.28,2.25,2.25,10300,2.25
2015-08-21,2.26,2.29,2.18,2.28,11300,2.28
2015-08-20,2.30,2.30,2.25,2.29,38500,2.29
2015-08-19,2.20,2.30,2.14,2.28,19800,2.28
2015-08-18,2.29,2.29,2.20,2.23,3300,2.23
2015-08-17,2.21,2.35,2.07,2.33,52300,2.33
2015-08-14,2.34,2.40,2.33,2.39,18200,2.39
2015-08-13,2.22,2.41,2.22,2.32,55900,2.32
2015-08-12,2.20,2.24,2.13,2.21,4700,2.21
2015-08-11,2.18,2.25,2.18,2.20,5300,2.20
2015-08-10,2.15,2.27,2.10,2.10,185800,2.10
2015-08-07,2.13,2.17,2.09,2.13,23200,2.13
2015-08-06,2.19,2.19,2.10,2.10,28300,2.10
2015-08-05,2.14,2.19,2.14,2.17,3600,2.17
2015-08-04,2.17,2.17,2.11,2.16,8200,2.16
2015-08-03,2.17,2.20,2.15,2.20,9700,2.20
2015-07-31,2.18,2.18,2.14,2.17,8700,2.17
2015-07-30,2.14,2.19,2.13,2.15,46100,2.15
2015-07-29,2.12,2.23,2.11,2.14,48300,2.14
2015-07-28,2.15,2.25,2.10,2.16,100900,2.16
2015-07-27,2.12,2.18,2.05,2.11,60700,2.11
2015-07-24,2.08,2.15,2.02,2.09,80500,2.09
2015-07-23,2.03,2.06,2.01,2.01,9700,2.01
2015-07-22,2.04,2.07,2.00,2.03,43100,2.03
2015-07-21,2.01,2.12,2.01,2.04,34200,2.04
2015-07-20,2.06,2.10,1.99,2.02,37300,2.02
2015-07-17,1.93,2.13,1.90,2.01,234600,2.01
2015-07-16,2.31,2.35,1.49,2.04,1230800,2.04
2015-07-15,2.41,2.44,2.30,2.31,35300,2.31
2015-07-14,2.54,2.60,2.15,2.36,422100,2.36
2015-07-13,2.70,2.72,2.52,2.58,74800,2.58
2015-07-10,2.70,2.74,2.60,2.70,161300,2.70
2015-07-09,2.62,2.70,2.42,2.65,601900,2.65
2015-07-08,1.94,2.
99,1.92,2.54,1739200,2.54
2015-07-07,1.83,1.87,1.81,1.87,1500,1.87
2015-07-06,1.81,1.84,1.75,1.80,6000,1.80
2015-07-02,1.80,1.87,1.75,1.84,28200,1.84
2015-07-01,1.76,1.87,1.71,1.87,26400,1.87
2015-06-30,1.75,1.77,1.70,1.71,13300,1.71
2015-06-29,1.80,1.80,1.69,1.80,40200,1.80
2015-06-26,1.80,1.81,1.69,1.74,58900,1.74
2015-06-25,1.80,1.80,1.71,1.80,31400,1.80
2015-06-24,1.80,1.87,1.69,1.78,154100,1.78
2015-06-23,1.85,1.86,1.67,1.80,103300,1.80
2015-06-22,1.86,1.87,1.77,1.83,76000,1.83
2015-06-19,1.78,1.88,1.59,1.83,868400,1.83
2015-06-18,1.89,1.95,1.76,1.77,55700,1.77
2015-06-17,1.93,2.00,1.85,1.87,40100,1.87
2015-06-16,1.96,2.03,1.91,2.02,6300,2.02
2015-06-15,2.04,2.05,1.96,1.96,11700,1.96
2015-06-12,2.05,2.07,1.93,1.99,29700,1.99
2015-06-11,2.09,2.09,2.01,2.08,14600,2.08
2015-06-10,2.10,2.10,2.00,2.10,18000,2.10
2015-06-09,2.05,2.10,2.00,2.00,8900,2.00
2015-06-08,2.22,2.22,2.01,2.02,20800,2.02
2015-06-05,2.15,2.20,2.09,2.17,11100,2.17
2015-06-04,2.20,2.20,2.08,2.14,16100,2.14
2015-06-03,2.16,2.22,2.16,2.21,2700,2.21
2015-06-02,2.15,2.25,2.15,2.25,3400,2.25
2015-06-01,2.15,2.25,2.15,2.25,400,2.25
2015-05-29,2.21,2.25,2.21,2.24,4900,2.24
2015-05-28,2.24,2.24,2.13,2.20,8700,2.20
2015-05-27,2.20,2.24,2.14,2.23,3000,2.23
2015-05-26,2.25,2.25,2.20,2.25,9000,2.25
2015-05-22,2.15,2.19,2.15,2.19,700,2.19
2015-05-21,2.15,2.22,2.10,2.15,20200,2.15
2015-05-20,2.16,2.24,2.15,2.22,5100,2.22
2015-05-19,2.23,2.23,2.20,2.23,2200,2.23
2015-05-18,2.25,2.25,2.25,2.25,100,2.25
2015-05-15,2.19,2.24,2.17,2.22,15300,2.22
2015-05-14,2.22,2.24,2.20,2.24,6800,2.24
2015-05-13,2.26,2.26,2.26,2.26,1100,2.26
2015-05-12,2.20,2.26,2.20,2.26,2900,2.26
2015-05-11,2.26,2.26,2.25,2.26,600,2.26
2015-05-08,2.22,2.26,2.22,2.26,900,2.26
2015-05-07,2.26,2.29,2.25,2.26,9700,2.26
2015-05-06,2.28,2.29,2.26,2.26,13100,2.26
2015-05-05,2.25,2.29,2.20,2.29,1500,2.29
2015-05-04,2.27,2.29,2.25,2.29,5700,2.29
2015-05-01,2.24,2.29,2.24,2.29,2500,2.29
2015-04-30,2.26,2.30,2.24,2.25,21900,2.25
2015-04-29,2.29,2.29,2.26,2.28,2400,2.28
2015-04-28,2.29,2.29,2.29,2.29,100,2.29
2015-04-27,2.30,2.30,2.22,2.29,28300,2.29
2015-04-24,2.30,2.30,2.26,2.29,6800,2.29
2015-04-23,2.30,2.30,2.21,2.30,1900,2.30
2015-04-22,2.28,2.30,2.28,2.28,10800,2.28
2015-04-21,2.30,2.35,2.20,2.35,18800,2.35
2015-04-20,2.33,2.37,2.25,2.29,5600,2.29
2015-04-17,2.26,2.40,2.26,2.29,33900,2.29
2015-04-16,2.28,2.28,2.20,2.28,12300,2.28
2015-04-15,2.30,2.30,2.19,2.25,23900,2.25
2015-04-14,2.28,2.30,2.25,2.30,26400,2.30
2015-04-13,2.29,2.30,2.27,2.30,17700,2.30
2015-04-10,2.25,2.30,2.25,2.29,12300,2.29
2015-04-09,2.23,2.25,2.23,2.25,600,2.25
2015-04-08,2.25,2.25,2.15,2.25,131800,2.25
2015-04-07,2.25,2.25,2.24,2.25,23000,2.25
2015-04-06,2.25,2.29,2.19,2.22,71100,2.22
2015-04-02,2.15,2.25,2.15,2.25,1000,2.25
2015-04-01,2.22,2.25,2.16,2.25,13200,2.25
2015-03-31,2.22,2.30,2.18,2.25,42100,2.25
2015-03-30,2.25,2.25,2.20,2.23,17500,2.23
2015-03-27,2.20,2.25,2.16,2.23,50600,2.23
2015-03-26,2.20,2.25,2.17,2.25,43800,2.25
2015-03-25,2.20,2.22,2.14,2.20,30800,2.20
2015-03-24,2.16,2.22,2.16,2.22,22300,2.22
2015-03-23,2.10,2.25,2.10,2.21,54000,2.21
2015-03-20,2.21,2.27,2.01,2.04,289600,2.04
2015-03-19,2.25,2.27,2.18,2.19,73100,2.19
2015-03-18,2.30,2.30,2.20,2.20,157500,2.20
2015-03-17,2.30,2.30,2.28,2.30,29100,2.30
2015-03-16,2.34,2.34,2.28,2.33,84100,2.33
2015-03-13,2.30,2.30,2.25,2.30,720500,2.30
2015-03-12,2.27,2.29,2.24,2.29,17900,2.29
2015-03-11,2.28,2.29,2.24,2.28,10800,2.28
2015-03-10,2.30,2.30,2.20,2.28,96900,2.28
2015-03-09,2.30,2.30,2.24,2.28,35400,2.28
2015-03-06,2.30,2.30,2.22,2.29,27800,2.29
2015-03-05,2.30,2.30,2.24,2.29,22000,2.29
2015-03-04,2.30,2.30,2.24,2.30,49100,2.30
2015-03-03,2.30,2.31,2.24,2.30,71900,2.30
2015-03-02,2.29,2.30,2.27,2.29,16300,2.29
2015-02-27,2.29,2.31,2.22,2.30,34000,2.30
2015-02-26,2.29,2.29,2.29,2.29,900,2.29
2015-02-25,2.28,2.30,2.28,2.30,5300,2.30
2015-02-24,2.30,2.30,2.28,2.30,3300,2.30
2015-02-23,2.33,2.33,2.33,2.33,000,2.33
2015-02-20,2.31,2.33,2.31,2.33,300,2.33
2015-02-19,2.28,2.33,2.28,2.33,2100,2.33
2015-02-18,2.33,2.33,2.30,2.33,8200,2.33
2015-02-17,2.31,2.33,2.31,2.33,16800,2.33
2015-02-13,2.31,2.33,2.31,2.33,600,2.33
2015-02-12,2.33,2.33,2.32,2.33,4200,2.33
2015-02-11,2.31,2.33,2.31,2.33,8800,2.33
2015-02-10,2.32,2.33,2.23,2.32,4800,2.32
2015-02-09,2.34,2.34,2.32,2.34,4000,2.34
2015-02-06,2.33,2.34,2.31,2.31
,10500,2.31
2015-02-05,2.33,2.33,2.27,2.30,7100,2.30
2015-02-04,2.34,2.34,2.33,2.33,2200,2.33
2015-02-03,2.33,2.34,2.32,2.34,7300,2.34
2015-02-02,2.34,2.34,2.31,2.34,7100,2.34
2015-01-30,2.33,2.34,2.30,2.34,21700,2.34
2015-01-29,2.30,2.35,2.30,2.34,500,2.34
2015-01-28,2.35,2.35,2.35,2.35,600,2.35
2015-01-27,2.30,2.35,2.27,2.35,2800,2.35
2015-01-26,2.34,2.35,2.34,2.35,1300,2.35
2015-01-23,2.34,2.35,2.27,2.35,56000,2.35
2015-01-22,2.25,2.34,2.25,2.34,4400,2.34
2015-01-21,2.39,2.39,2.20,2.31,31700,2.31
2015-01-20,2.20,2.32,2.20,2.32,13300,2.32
2015-01-16,2.34,2.34,2.19,2.29,32300,2.29
2015-01-15,2.25,2.28,2.10,2.28,40800,2.28
2015-01-14,2.30,2.30,2.25,2.30,2000,2.30
2015-01-13,2.30,2.35,2.20,2.30,58800,2.30
2015-01-12,2.25,2.35,2.18,2.35,18700,2.35
2015-01-09,2.21,2.25,2.15,2.25,69700,2.25
2015-01-08,2.16,2.21,2.16,2.20,40900,2.20
2015-01-07,2.23,2.23,2.16,2.21,10800,2.21
2015-01-06,2.25,2.28,2.16,2.23,103400,2.23
2015-01-05,2.30,2.30,2.15,2.24,13400,2.24
2015-01-02,2.20,2.30,2.14,2.30,30100,2.30
2014-12-31,2.19,2.25,2.18,2.20,116100,2.20
2014-12-30,2.20,2.30,2.16,2.22,76700,2.22
2014-12-29,2.24,2.25,2.20,2.24,11300,2.24
2014-12-26,2.23,2.23,2.23,2.23,500,2.23
2014-12-24,2.18,2.25,2.18,2.21,1200,2.21
2014-12-23,2.24,2.28,2.23,2.23,2300,2.23
2014-12-22,2.22,2.30,2.22,2.25,7600,2.25
2014-12-19,2.16,2.30,2.15,2.30,9200,2.30
2014-12-18,2.28,2.37,2.24,2.25,36000,2.25
2014-12-17,2.25,2.30,2.25,2.30,4500,2.30
2014-12-16,2.25,2.40,2.25,2.28,17300,2.28
2014-12-15,2.20,2.35,2.15,2.35,16300,2.35
2014-12-12,2.25,2.25,2.25,2.25,000,2.25
2014-12-11,2.21,2.25,2.21,2.25,1400,2.25
2014-12-10,2.24,2.25,2.24,2.25,700,2.25
2014-12-09,2.25,2.25,2.16,2.25,6300,2.25
2014-12-08,2.10,2.24,2.01,2.21,6100,2.21
2014-12-05,2.20,2.20,2.13,2.20,5300,2.20
2014-12-04,2.16,2.20,2.10,2.20,25600,2.20
2014-12-03,2.12,2.16,2.10,2.16,14700,2.16
2014-12-02,2.16,2.16,2.11,2.16,4400,2.16
2014-12-01,2.18,2.18,2.08,2.11,4400,2.11
2014-11-28,2.17,2.17,2.17,2.17,100,2.17
2014-11-26,2.16,2.18,2.16,2.18,200,2.18
2014-11-25,2.18,2.18,2.18,2.18,700,2.18
2014-11-24,2.19,2.19,2.00,2.18,13800,2.18
2014-11-21,2.20,2.20,2.18,2.18,200,2.18
2014-11-20,2.17,2.22,2.10,2.17,44900,2.17
2014-11-19,2.20,2.20,2.20,2.20,200,2.20
2014-11-17,2.24,2.24,2.15,2.18,37600,2.18
